term_a,term_b,pmi,co_occurrence_count
-minute,access,0.7333184235486132,89
-minute,accessibility,0.6430147085153095,129
-minute,aiming,0.8467705732671565,16
-minute,amenity,0.7886629424598758,54
-minute,analysis,0.20032968011315594,118
-minute,apply,0.8214527652828665,12
-minute,applying,0.16220713639860274,9
-minute,broader,0.267567652056429,10
-minute,community,0.22688641339536897,49
-minute,concentration,0.003142441768915639,9
-minute,critical,0.36719749300527027,32
-minute,disparity,1.0526935268296957,31
-minute,distance,0.2747275871785214,58
-minute,dynamic,0.19729845620987282,18
-minute,ensuring,0.8016501379866872,20
-minute,equitable,0.8940234581177021,40
-minute,equity,0.6156007110787179,21
-minute,evaluates,0.7569142441452957,18
-minute,facility,0.31590419861771984,38
-minute,focus,0.3991805388583211,59
-minute,focused,0.25964158678400845,13
-minute,gis-based,1.1209692953816504,17
-minute,half,0.4159876571747022,8
-minute,highlighting,0.7081240799758634,15
-minute,identify,0.37676694402142097,35
-minute,identifying,0.4939491986444143,16
-minute,inclusive,0.7981959031185994,34
-minute,increasingly,0.25471950957858,16
-minute,inform,0.6816908229077078,12
-minute,infrastructure,0.23985807062866887,54
-minute,intervention,0.3276950500290238,26
-minute,limitation,0.6391312084889121,17
-minute,lower,0.2198727782484118,24
-minute,mobility,0.5012080652834104,71
-minute,model,0.31062714151687587,126
-minute,need,0.42370970326861274,104
-minute,offer,0.3788481102252455,37
-minute,older,0.12830558472292136,9
-minute,population,0.11393564443996852,76
-minute,priority,0.19284410586049244,8
-minute,proximity-based,1.2369682092445327,20
-minute,public,0.1466547233911181,99
-minute,remains,0.313708808054284,13
-minute,resident,0.32523329390623823,80
-minute,share,0.16220713639860274,9
-minute,show,0.09390415800558885,60
-minute,spatial,0.2455356759361314,113
-minute,speed,0.48498052866165375,9
-minute,station,0.03299540491859635,12
-minute,surrounding,0.03299540491859635,6
-minute,targeted,0.5946794459180781,11
-minute,threshold,0.5545738204608489,17
-minute,transition,0.42782211482170507,17
-minute,walking,0.48498052866165375,69
-minute,within,0.5728818229477115,146
access,accessibility,0.667172642267976,79
access,adult,0.9713321373422743,10
access,age,0.32697512095176096,7
access,aiming,1.0736109864626924,12
access,amenity,0.9777630276725647,39
access,analysis,0.1636752464709147,68
access,apply,0.4605065135762836,5
access,applying,0.2712645139377552,6
access,associated,0.2586403607093587,19
