topic,rank,term,weight
T1,1,minute,690.3417402785323
T1,2,accessibility,552.2800586256448
T1,3,service,336.0706499343913
T1,4,walking,266.2326950198625
T1,5,within,248.5159948208461
T1,6,mobility,225.89505101189297
T1,7,spatial,218.3651255405549
T1,8,proximity,198.6896764796582
T1,9,model,181.6994855450661
T1,10,access,181.43237151482657
T2,1,compact,354.0814403696622
T2,2,density,301.20365714879443
T2,3,policy,242.48255448271928
T2,4,travel,242.11701482511987
T2,5,resident,198.52605577471633
T2,6,social,180.2092315740088
T2,7,residential,178.62700688802357
T2,8,high,170.6098060735892
T2,9,transport,167.03103491444756
T2,10,form,148.6374217521069
T3,1,compact,547.0712850377862
T3,2,land,439.76426774877456
T3,3,form,245.6472282543253
T3,4,spatial,227.0075453053222
T3,5,density,219.59412845126084
T3,6,sustainable,206.1366166501722
T3,7,model,188.58876108078314
T3,8,energy,171.9881009809665
T3,9,emission,170.45011908613824
T3,10,sustainability,163.9906073902026
T4,1,concept,307.0063156971467
T4,2,sustainable,285.06610711348
T4,3,policy,260.634118248845
T4,4,minute,201.98948410834888
T4,5,design,200.58700564261073
T4,6,strategy,189.81775235283706
T4,7,new,186.77350544682955
T4,8,social,181.27710129851351
T4,9,space,162.82387846984804
T4,10,need,160.52766946979824
T5,1,housing,383.7319578797575
T5,2,space,304.72181521383425
T5,3,green,299.77766463881017
T5,4,social,126.32146386709154
T5,5,landscape,114.35747703660245
T5,6,park,111.71302714897774
T5,7,new,105.58526757354505
T5,8,compact,85.79792163968472
T5,9,high,74.50929362806092
T5,10,density,65.14209347144315
T6,1,walkability,254.85153568259997
T6,2,environment,254.56904674475487
T6,3,health,240.0408721472343
T6,4,street,194.30126435779005
T6,5,walkable,162.82683523151823
T6,6,design,142.41667190891488
T6,7,physical,121.17130391589497
T6,8,activity,117.05848807752399
T6,9,built,108.91886719385506
T6,10,pedestrian,105.91108006200783
