term,community
-minute,0
able,0
academic,0
access,0
accessibility,0
accessible,0
additionally,0
address,0
addressing,0
advocate,0
affecting,0
aimed,0
aiming,0
allows,0
amenity,0
analyse,0
analysing,0
analysis,0
analyze,0
apply,0
assess,0
assesses,0
assessing,0
assessment,0
attention,0
barrier,0
becoming,0
beyond,0
big,0
bike,0
broader,0
build,0
call,0
category,0
chrono-urbanism,0
cluster,0
cohesion,0
combine,0
combining,0
community,0
complexity,0
comprehensive,0
concept,0
conduct,0
connectivity,0
constraint,0
context,0
contributes,0
contributing,0
coverage,0
critical,0
crucial,0
cultural,0
data-driven,0
database,0
decision,0
decision-making,0
define,0
definition,0
demonstrate,0
dense,0
densely,0
derived,0
despite,0
detailed,0
determinant,0
developing,0
develops,0
dimension,0
discourse,0
disparity,0
distinct,0
district,0
diverse,0
diversity,0
dynamic,0
education,0
emphasis,0
emphasizes,0
employ,0
employed,0
engagement,0
enhance,0
enhanced,0
enhancing,0
ensuring,0
environment,0
equitable,0
equity,0
essential,0
evaluate,0
evaluates,0
evaluating,0
evaluation,0
examines,0
examining,0
explores,0
exploring,0
face,0
facilitate,0
facility,0
facing,0
five,0
focused,0
food,0
foster,0
fostering,0
framework,0
function,0
gained,0
geographic,0
gi,0
gis-based,0
governance,0
group,0
guide,0
healthcare,0
highlight,0
highlighting,0
identification,0
identifies,0
identify,0
identifying,0
implement,0
implementation,0
implementing,0
importance,0
improve,0
improving,0
include,0
inclusive,0
incorporating,0
increasingly,0
index,0
inequality,0
inform,0
infrastructure,0
innovative,0
integrate,0
integrates,0
integrating,0
interest,0
intervention,0
justice,0
knowledge,0
lack,0
learning,0
like,0
limitation,0
limited,0
literature,0
livable,0
liveability,0
liveable,0
map,0
mapping,0
measure,0
measurement,0
measuring,0
meet,0
method,0
methodological,0
methodology,0
metric,0
mixed-use,0
mobility,0
model,0
modelling,0
necessity,0
need,0
neighbourhood,0
network,0
north,0
novel,0
offer,0
offering,0
often,0
optimal,0
pedestrian,0
peripheral,0
planner,0
policymakers,0
popular,0
practical,0
primarily,0
principle,0
priority,0
promoting,0
propose,0
proposes,0
proposing,0
providing,0
proximity,0
proximity-based,0
quantitative,0
radius,0
rapidly,0
recommendation,0
reflect,0
remain,0
remains,0
require,0
requires,0
researcher,0
residence,0
resident,0
resilience,0
resilient,0
reveal,0
revealed,0
reveals,0
ride,0
score,0
segregation,0
serve,0
service,0
setting,0
short,0
six,0
socioeconomic,0
spatial,0
spatially,0
support,0
systematic,0
targeted,0
technique,0
tested,0
threshold,0
tool,0
topic,0
underscore,0
understanding,0
valuable,0
varying,0
vision,0
vulnerable,0
walk,0
walkability,0
weighted,0
well-being,0
widely,0
within,0
worldwide,0
x-minute,0
zone,0
zoning,0
accommodate,1
according,1
achieving,1
additional,1
adequate,1
adult,1
affect,1
age,1
agglomeration,1
along,1
although,1
amount,1
analyzed,1
analyzing,1
answer,1
applying,1
argument,1
assessed,1
associated,1
association,1
assumption,1
attractive,1
attribute,1
available,1
average,1
background,1
balance,1
better,1
block,1
boundary,1
built,1
calculated,1
capital,1
capture,1
caused,1
